common vocabulary size  ,distance_between_users,user1,user2
753,0.713876447,770063,1531518
749,0.713890546,1140297,1531518
744,0.713912642,1272651,14415072
752,0.713946471,534017,1497561
747,0.714161007,177831,20440192
754,0.714172055,660478,8183133
734,0.714182845,787615,1330950
744,0.714221349,4783913,20440192
735,0.714280217,25362190,54203621
747,0.714288409,2328351,8183133
739,0.714470853,876021,1711318
747,0.714532669,108019,1140297
747,0.714622737,1140297,3761568
740,0.714629257,4861019,25362190
747,0.714672235,1339206,1847105
755,0.714745663,275445,672266
755,0.714769221,21393536,26281817
752,0.714928848,2328351,19378289
748,0.715011486,1030683,1218609
750,0.715056042,257024,724166
753,0.715267077,1497561,15161948
749,0.715367536,144230,188019
739,0.715498479,902933,1568320
742,0.715545249,238543,1184397
754,0.715562962,1531518,15110667
758,0.71558902,21393536,58715250
757,0.715645861,108019,19378289
743,0.715707707,15161948,25362190
753,0.715708403,10411973,25362190
750,0.715745136,1218609,1847105
750,0.715819984,108019,1711318
738,0.715905305,170212,787615
758,0.715932038,1497561,4294732
734,0.715962278,1218609,21393536
755,0.716128745,7782049,26281817
752,0.716239735,108019,2535732
752,0.716312407,177831,208354
748,0.716462443,188019,14415072
757,0.716605692,1531518,15161948
747,0.716621966,799305,1160611
745,0.716704063,687678,25362190
741,0.716725509,144230,172656
748,0.716789893,170212,1184397
750,0.71706694,1339206,2622260
754,0.717100008,108019,1497561
743,0.717113539,1218609,2910379
743,0.717201802,90175,1272651
756,0.717310785,257024,454303
741,0.717376878,1140297,20440192
749,0.717391705,133226,454303
747,0.717440962,16927896,25362190
740,0.71748687,807416,25362190
744,0.717580649,902933,1330950
760,0.717604898,4783913,7782049
748,0.717691557,1851043,21393536
749,0.717709949,10355638,15110667
727,0.717737142,951968,1218609
756,0.718034279,90175,1030683
753,0.718081974,1339206,1531518
752,0.718124431,1667307,1711318
731,0.718412369,1711318,25362190
745,0.718522945,787615,2078581
739,0.718556514,352610,1218609
747,0.718570835,179656,1218609
748,0.718612999,390025,2535732
757,0.718618664,352610,1272651
747,0.71867437,1184397,1497561
755,0.718684569,1531518,2483880
755,0.718691876,177831,5812180
749,0.718715178,1940900,14415072
744,0.718726001,1218609,2570699
749,0.718739358,352610,14415072
748,0.718749333,799305,20174125
740,0.718806303,454303,1218609
755,0.718844189,3761568,23930092
755,0.718860283,534017,2535732
747,0.718891921,1039457,1711318
749,0.71895901,177831,390025
737,0.718981046,144230,724166
743,0.718982947,227353,14415072
747,0.719024336,352610,1339206
749,0.719060893,21393536,23930092
752,0.719275763,1339206,2910379
757,0.719276062,2483880,4783913
744,0.719276989,227353,285606
743,0.719317199,15110667,20440192
760,0.719347194,660478,1497561
734,0.719395905,238543,1711318
752,0.719412581,902933,14415072
745,0.719474988,1330950,1711318
760,0.719506699,271979,25362190
747,0.719542797,453751,902933
741,0.719616521,133226,724166
738,0.71965947,308075,787615
758,0.719678956,770063,20440192
753,0.719701548,108019,799305
752,0.719758581,227353,352610
743,0.719784183,90175,876454
747,0.719864958,20411819,25362190
751,0.719885173,19378289,21393536
742,0.719964027,285606,14415072
755,0.719996186,351247,1140297
753,0.720184356,257024,1272651
740,0.720255576,308075,1184397
760,0.720371934,1531518,7782049
741,0.720489518,964315,1339206
742,0.720584583,1140297,10355638
748,0.720595691,308075,352610
757,0.720597842,1531518,8183133
744,0.720669776,90175,133226
746,0.720676534,1140297,1240511
761,0.720735734,1240511,2535732
753,0.720764665,902933,1847105
759,0.72077589,133226,1330950
766,0.720864776,449021,2898520
737,0.720989221,1184397,1940900
757,0.721073592,1339206,1367483
758,0.721079119,5900916,26281817
757,0.721324113,170212,1711318
751,0.721355957,108019,724166
752,0.72139341,1531518,20440192
759,0.721446377,672266,2634407
736,0.721448544,951968,1184397
748,0.72159649,208354,1218609
746,0.721638721,799305,2078581
760,0.721676934,177831,7782049
753,0.721725735,227353,257024
734,0.721784494,308075,1218609
748,0.721788417,1330950,1568320
749,0.721841238,687678,902933
764,0.721891473,2535732,4294732
735,0.721891767,1140297,21393536
737,0.721915193,172656,724166
756,0.721992157,534017,10355638
757,0.722040272,4783913,19676866
745,0.722132817,2193077,25362190
735,0.722171349,724166,951968
753,0.722223484,90175,2570699
734,0.722327601,238543,787615
753,0.722370655,2256899,25362190
749,0.722374967,24438541,25362190
742,0.722469768,122747,1184397
759,0.722559706,1502843,21393536
732,0.722600323,23853088,25362190
747,0.722602458,308075,1339206
758,0.72262282,6442183,25362190
755,0.722707125,177831,1339206
753,0.722748992,787615,2647782
736,0.722764107,285606,1218609
763,0.722799157,660478,15161948
746,0.722826976,1851043,25362190
748,0.722835576,1218609,3327254
747,0.722839995,81109,1184397
755,0.722862282,6271558,25362190
758,0.722884081,454303,1272651
748,0.722959238,275445,25362190
752,0.722972248,453751,1497561
752,0.723006817,1531518,19378289
741,0.723106389,724166,1568320
733,0.723200332,172656,1218609
738,0.723265332,25362190,30274890
731,0.7232843,876454,1218609
753,0.723285114,208354,21393536
755,0.723368749,1160611,1711318
749,0.723400374,1083527,1218609
746,0.723403408,8183133,19378289
748,0.723593378,227353,1940900
750,0.723613842,208354,390025
734,0.723649059,90175,1940900
745,0.723667919,1339206,14415072
754,0.723693336,534017,10124982
757,0.723705021,534017,1140297
761,0.723705074,14080464,15110667
745,0.723715084,799305,2570699
762,0.723779643,271979,8183133
749,0.723832497,1553624,1711318
762,0.723896691,3327254,8183133
762,0.723907005,533966,21393536
759,0.724013667,4861019,10355638
751,0.724042002,1140297,1568320
746,0.724073409,17949966,21393536
736,0.724085566,876021,1218609
733,0.724116486,2859500,25362190
770,0.724127205,239058,672266
735,0.724131519,238543,799305
759,0.72433191,1497561,8478404
739,0.724419298,172656,14415072
753,0.724431558,390025,20440192
760,0.72444282,19676866,21393536
753,0.724502103,8183133,15161948
738,0.724510286,1218609,2328351
752,0.724513755,188019,1339206
764,0.724615917,108019,1531518
757,0.724640315,1531518,10355638
746,0.724713372,787615,20174125
753,0.724720839,1339206,2328351
751,0.724813,787615,1160611
